,ranking,band_singer,song,songurl,titletext,url,year,0
1178,79,Jake Owen,Barefoot Blue Jean Night,/wiki/Barefoot_Blue_Jean_Night_(song),Barefoot Blue Jean Night,/wiki/Jake_Owen,2011,79
1179,80,Zac Brown Band,Knee Deep,/wiki/Knee_Deep,Knee Deep,/wiki/Zac_Brown_Band,2011,80
1179,80,Jimmy Buffett,Knee Deep,/wiki/Knee_Deep,Knee Deep,/wiki/Jimmy_Buffett,2011,80
1180,81,Luke Bryan,Country Girl (Shake It for Me),/wiki/Country_Girl_(Shake_It_for_Me),Country Girl (Shake It for Me),/wiki/Luke_Bryan,2011,81
1181,82,Brad Paisley,Remind Me,/wiki/Remind_Me_(Brad_Paisley_and_Carrie_Underwood_song),Remind Me,/wiki/Brad_Paisley,2011,82
1181,82,Carrie Underwood,Remind Me,/wiki/Remind_Me_(Brad_Paisley_and_Carrie_Underwood_song),Remind Me,/wiki/Carrie_Underwood,2011,82
1182,83,Dev,In the Dark,/wiki/In_the_Dark_(Dev_song),In the Dark,/wiki/Dev_(singer),2011,83
1183,84,New Boyz,Backseat,/wiki/Backseat_(song),Backseat,/wiki/New_Boyz,2011,84
1183,84,The Cataracs,Backseat,/wiki/Backseat_(song),Backseat,/wiki/The_Cataracs,2011,84
1183,84,Dev,Backseat,/wiki/Backseat_(song),Backseat,/wiki/Dev_(singer),2011,84
1184,85,Drake,Headlines,/wiki/Headlines_(Drake_song),Headlines,/wiki/Drake_(musician),2011,85
1185,86,Beyoncé,Best Thing I Never Had,/wiki/Best_Thing_I_Never_Had,Best Thing I Never Had,/wiki/Beyonc%C3%A9,2011,86
1186,87,Jason Derulo,Don't Wanna Go Home,/wiki/Don%27t_Wanna_Go_Home,Don't Wanna Go Home,/wiki/Jason_Derulo,2011,87
1187,88,David Guetta,Where Them Girls At,/wiki/Where_Them_Girls_At,Where Them Girls At,/wiki/David_Guetta,2011,88
1187,88,Flo Rida,Where Them Girls At,/wiki/Where_Them_Girls_At,Where Them Girls At,/wiki/Flo_Rida,2011,88
1187,88,Nicki Minaj,Where Them Girls At,/wiki/Where_Them_Girls_At,Where Them Girls At,/wiki/Nicki_Minaj,2011,88
1188,89,Chris Brown,She Ain't You,/wiki/She_Ain%27t_You,She Ain't You,/wiki/Chris_Brown,2011,89
1189,90,Rodney Atkins,Take a Back Road,/wiki/Take_a_Back_Road_(song),Take a Back Road,/wiki/Rodney_Atkins,2011,90
1190,91,Mike Posner,Please Don't Go,/wiki/Please_Don%27t_Go_(Mike_Posner_song),Please Don't Go,/wiki/Mike_Posner,2011,91
1191,92,Miguel,Sure Thing,/wiki/Sure_Thing_(Miguel_song),Sure Thing,/wiki/Miguel_(singer),2011,92
1192,93,Jessie J,Price Tag,/wiki/Price_Tag,Price Tag,/wiki/Jessie_J,2011,93
1192,93,B.o.B,Price Tag,/wiki/Price_Tag,Price Tag,/wiki/B.o.B,2011,93
1193,94,Blake Shelton,God Gave Me You,/wiki/God_Gave_Me_You#Blake_Shelton_version,God Gave Me You,/wiki/Blake_Shelton,2011,94
1194,95,Lil Wayne,She Will,/wiki/She_Will,She Will,/wiki/Lil_Wayne,2011,95
1194,95,Drake,She Will,/wiki/She_Will,She Will,/wiki/Drake_(musician),2011,95
1195,96,Thompson Square,Are You Gonna Kiss Me or Not,/wiki/Are_You_Gonna_Kiss_Me_or_Not,Are You Gonna Kiss Me or Not,/wiki/Thompson_Square,2011,96
1196,97,Neon Trees,Animal,/wiki/Animal_(Neon_Trees_song),Animal,/wiki/Neon_Trees,2011,97
1197,98,Kenny Chesney,You and Tequila,/wiki/You_and_Tequila,You and Tequila,/wiki/Kenny_Chesney,2011,98
1197,98,Grace Potter,You and Tequila,/wiki/You_and_Tequila,You and Tequila,/wiki/Grace_Potter_and_the_Nocturnals,2011,98
1198,99,Zac Brown Band,Colder Weather,/wiki/Colder_Weather,Colder Weather,/wiki/Zac_Brown_Band,2011,99
1199,100,Big Sean,My Last,/wiki/My_Last,My Last,/wiki/Big_Sean,2011,100
1199,100,Chris Brown,My Last,/wiki/My_Last,My Last,/wiki/Chris_Brown,2011,100
1200,1,Gotye,Somebody That I Used to Know,/wiki/Somebody_That_I_Used_to_Know,Somebody That I Used to Know,/wiki/Gotye,2012,1
1200,1,Kimbra,Somebody That I Used to Know,/wiki/Somebody_That_I_Used_to_Know,Somebody That I Used to Know,/wiki/Kimbra,2012,1
1201,2,Carly Rae Jepsen,Call Me Maybe,/wiki/Call_Me_Maybe,Call Me Maybe,/wiki/Carly_Rae_Jepsen,2012,2
1202,3,Fun,We Are Young,/wiki/We_Are_Young,We Are Young,/wiki/Fun_(band),2012,3
1202,3,Janelle Monáe,We Are Young,/wiki/We_Are_Young,We Are Young,/wiki/Janelle_Mon%C3%A1e,2012,3
1203,4,Maroon 5,Payphone,/wiki/Payphone_(song),Payphone,/wiki/Maroon_5,2012,4
1203,4,Wiz Khalifa,Payphone,/wiki/Payphone_(song),Payphone,/wiki/Wiz_Khalifa,2012,4
1204,5,Ellie Goulding,Lights,/wiki/Lights_(Ellie_Goulding_song),Lights,/wiki/Ellie_Goulding,2012,5
1205,6,The Wanted,Glad You Came,/wiki/Glad_You_Came,Glad You Came,/wiki/The_Wanted,2012,6
1206,7,Kelly Clarkson,Stronger (What Doesn't Kill You),/wiki/Stronger_(What_Doesn%27t_Kill_You),Stronger (What Doesn't Kill You),/wiki/Kelly_Clarkson,2012,7
1207,8,Rihanna,We Found Love,/wiki/We_Found_Love,We Found Love,/wiki/Rihanna,2012,8
1207,8,Calvin Harris,We Found Love,/wiki/We_Found_Love,We Found Love,/wiki/Calvin_Harris,2012,8
1208,9,Nicki Minaj,Starships,/wiki/Starships_(song),Starships,/wiki/Nicki_Minaj,2012,9
1209,10,One Direction,What Makes You Beautiful,/wiki/What_Makes_You_Beautiful,What Makes You Beautiful,/wiki/One_Direction,2012,10
1210,11,Flo Rida,Wild Ones,/wiki/Wild_Ones_(song),Wild Ones,/wiki/Flo_Rida,2012,11
1210,11,Sia,Wild Ones,/wiki/Wild_Ones_(song),Wild Ones,/wiki/Sia_Furler,2012,11
1211,12,Adele,Set Fire to the Rain,/wiki/Set_Fire_to_the_Rain,Set Fire to the Rain,/wiki/Adele,2012,12
1212,13,LMFAO,Sexy and I Know It,/wiki/Sexy_and_I_Know_It,Sexy and I Know It,/wiki/LMFAO,2012,13
1213,14,Fun,Some Nights,/wiki/Some_Nights_(song),Some Nights,/wiki/Fun_(band),2012,14
1214,15,Katy Perry,Wide Awake,/wiki/Wide_Awake_(Katy_Perry_song),Wide Awake,/wiki/Katy_Perry,2012,15
1215,16,Flo Rida,Good Feeling,/wiki/Good_Feeling_(song),Good Feeling,/wiki/Flo_Rida,2012,16
1216,17,Flo Rida,Whistle,/wiki/Whistle_(Flo_Rida_song),Whistle,/wiki/Flo_Rida,2012,17
1217,18,Maroon 5,One More Night,/wiki/One_More_Night_(Maroon_5_song),One More Night,/wiki/Maroon_5,2012,18
1218,19,Train,Drive By,/wiki/Drive_By_(song),Drive By,/wiki/Train_(band),2012,19
1219,20,Drake,The Motto,/wiki/The_Motto,The Motto,/wiki/Drake_(musician),2012,20
1219,20,Lil Wayne,The Motto,/wiki/The_Motto,The Motto,/wiki/Lil_Wayne,2012,20
1220,21,Rihanna,Where Have You Been,/wiki/Where_Have_You_Been,Where Have You Been,/wiki/Rihanna,2012,21
1221,22,Neon Trees,Everybody Talks,/wiki/Everybody_Talks,Everybody Talks,/wiki/Neon_Trees,2012,22
1222,23,Drake,Take Care,/wiki/Take_Care_(song),Take Care,/wiki/Drake_(musician),2012,23
1222,23,Rihanna,Take Care,/wiki/Take_Care_(song),Take Care,/wiki/Rihanna,2012,23
1223,24,David Guetta,Titanium,/wiki/Titanium_(song),Titanium,/wiki/David_Guetta,2012,24
1223,24,Sia,Titanium,/wiki/Titanium_(song),Titanium,/wiki/Sia_Furler,2012,24
1224,25,Jason Mraz,I Won't Give Up,/wiki/I_Won%27t_Give_Up,I Won't Give Up,/wiki/Jason_Mraz,2012,25
1225,26,Bruno Mars,It Will Rain,/wiki/It_Will_Rain,It Will Rain,/wiki/Bruno_Mars,2012,26
1226,27,Kanye West,Mercy,/wiki/Mercy_(GOOD_Music_song),Mercy,/wiki/Kanye_West,2012,27
1226,27,Big Sean,Mercy,/wiki/Mercy_(GOOD_Music_song),Mercy,/wiki/Big_Sean,2012,27
1226,27,Pusha T,Mercy,/wiki/Mercy_(GOOD_Music_song),Mercy,/wiki/Pusha_T,2012,27
1226,27,2 Chainz,Mercy,/wiki/Mercy_(GOOD_Music_song),Mercy,/wiki/2_Chainz,2012,27
1227,28,Justin Bieber,Boyfriend,/wiki/Boyfriend_(Justin_Bieber_song),Boyfriend,/wiki/Justin_Bieber,2012,28
1228,29,LMFAO,Party Rock Anthem,/wiki/Party_Rock_Anthem,Party Rock Anthem,/wiki/LMFAO,2012,29
