,index,artist,ranking,song,songurl,titletext,url,year
0,0,Faith Hill,"1
",Breathe,/wiki/Breathe_(Faith_Hill_song),Breathe,/wiki/Faith_Hill,2000
1,1,Santana,"2
",Smooth,/wiki/Smooth_(song),Smooth,/wiki/Santana_(band),2000
2,2,Santana,"3
",Maria Maria,/wiki/Maria_Maria,Maria Maria,/wiki/Santana_(band),2000
3,3,Joe,"4
",I Wanna Know,/wiki/I_Wanna_Know_(Joe_song),I Wanna Know,/wiki/Joe_(singer),2000
4,4,Vertical Horizon,"5
",Everything You Want,/wiki/Everything_You_Want_(Vertical_Horizon_song),Everything You Want,/wiki/Vertical_Horizon,2000
5,5,Destiny's Child,"6
",Say My Name,/wiki/Say_My_Name,Say My Name,/wiki/Destiny%27s_Child,2000
6,6,Savage Garden,"7
",I Knew I Loved You,/wiki/I_Knew_I_Loved_You_(Savage_Garden_song),I Knew I Loved You,/wiki/Savage_Garden,2000
7,7,Lonestar,"8
",Amazed,/wiki/Amazed,Amazed,/wiki/Lonestar,2000
8,8,Matchbox Twenty,"9
",Bent,/wiki/Bent_(song),Bent,/wiki/Matchbox_Twenty,2000
9,9,Toni Braxton,"10
",He Wasn't Man Enough,/wiki/He_Wasn%27t_Man_Enough,He Wasn't Man Enough,/wiki/Toni_Braxton,2000
10,10,Creed,"11
",Higher,/wiki/Higher_(Creed_song),Higher,/wiki/Creed_(band),2000
11,11,Aaliyah,"12
",Try Again,/wiki/Try_Again_(Aaliyah_song),Try Again,/wiki/Aaliyah,2000
12,12,Destiny's Child,"13
","Jumpin', Jumpin'","/wiki/Jumpin%27,_Jumpin%27","Jumpin', Jumpin'",/wiki/Destiny%27s_Child,2000
13,13,Sisqó,"14
",Thong Song,/wiki/Thong_Song,Thong Song,/wiki/Sisq%C3%B3,2000
14,14,3 Doors Down,"15
",Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),Kryptonite,/wiki/3_Doors_Down,2000
15,15,Pink,"16
",There You Go,/wiki/There_You_Go,There You Go,/wiki/Pink_(singer),2000
16,16,Madonna,"17
",Music,/wiki/Music_(Madonna_song),Music,/wiki/Madonna_(entertainer),2000
17,17,Janet Jackson,"18
",Doesn't Really Matter,/wiki/Doesn%27t_Really_Matter,Doesn't Really Matter,/wiki/Janet_Jackson,2000
18,18,Christina Aguilera,"19
",What a Girl Wants,/wiki/What_a_Girl_Wants_(Christina_Aguilera_song),What a Girl Wants,/wiki/Christina_Aguilera,2000
19,19,Brian McKnight,"20
",Back at One,/wiki/Back_at_One_(song),Back at One,/wiki/Brian_McKnight,2000
20,20,'N Sync,"21
",Bye Bye Bye,/wiki/Bye_Bye_Bye,Bye Bye Bye,/wiki/%27N_Sync,2000
21,21,Marc Anthony,"22
",You Sang to Me,/wiki/You_Sang_to_Me,You Sang to Me,/wiki/Marc_Anthony,2000
22,22,Marc Anthony,"23
",I Need to Know,/wiki/I_Need_to_Know_(Marc_Anthony_song),I Need to Know,/wiki/Marc_Anthony,2000
23,23,Montell Jordan,"24
",Get It On Tonite,/wiki/Get_It_On_Tonite,Get It On Tonite,/wiki/Montell_Jordan,2000
24,24,Sisqó,"25
",Incomplete,/wiki/Incomplete_(Sisq%C3%B3_song),Incomplete,/wiki/Sisq%C3%B3,2000
25,25,Macy Gray,"26
",I Try,/wiki/I_Try,I Try,/wiki/Macy_Gray,2000
26,26,'N Sync,"27
",It's Gonna Be Me,/wiki/It%27s_Gonna_Be_Me_(%27N_Sync_song),It's Gonna Be Me,/wiki/%27N_Sync,2000
27,27,Celine Dion,"28
",That's The Way It Is,/wiki/That%27s_the_Way_It_Is_(Celine_Dion_song),That's The Way It Is,/wiki/Celine_Dion,2000
28,28,Nelly,"29
",Country Grammar (Hot Shit),/wiki/Country_Grammar_(Hot_Shit),Country Grammar (Hot Shit),/wiki/Nelly,2000
29,29,Blaque,"30
",Bring It All to Me,/wiki/Bring_It_All_to_Me,Bring It All to Me,/wiki/Blaque,2000
30,30,Backstreet Boys,"31
",Show Me the Meaning of Being Lonely,/wiki/Show_Me_the_Meaning_of_Being_Lonely,Show Me the Meaning of Being Lonely,/wiki/Backstreet_Boys,2000
31,31,Missy Elliott,"32
",Hot Boyz,/wiki/Hot_Boyz_(song),Hot Boyz,/wiki/Missy_Elliott,2000
32,32,BBMak,"33
",Back Here,/wiki/Back_Here,Back Here,/wiki/BBMak,2000
33,33,Sonique,"34
",It Feels So Good,/wiki/It_Feels_So_Good,It Feels So Good,/wiki/Sonique_(musician),2000
34,34,Nine Days,"35
",Absolutely (Story of a Girl),/wiki/Absolutely_(Story_of_a_Girl),Absolutely (Story of a Girl),/wiki/Nine_Days,2000
35,35,Creed,"36
",With Arms Wide Open,/wiki/With_Arms_Wide_Open,With Arms Wide Open,/wiki/Creed_(band),2000
36,36,Enrique Iglesias,"37
",Be with You,/wiki/Be_with_You_(Enrique_Iglesias_song),Be with You,/wiki/Enrique_Iglesias,2000
37,37,Christina Aguilera,"38
",Come On Over Baby (All I Want Is You),/wiki/Come_On_Over_Baby_(All_I_Want_Is_You),Come On Over Baby (All I Want Is You),/wiki/Christina_Aguilera,2000
38,38,Ruff Endz,"39
",No More,/wiki/No_More_(Ruff_Endz_song),No More,/wiki/Ruff_Endz,2000
39,39,Blink 182,"40
",All The Small Things,/wiki/All_The_Small_Things,All The Small Things,/wiki/Blink_182,2000
40,40,Faith Hill,"41
",The Way You Love Me,/wiki/The_Way_You_Love_Me_(Faith_Hill_song),The Way You Love Me,/wiki/Faith_Hill,2000
41,41,Christina Aguilera,"42
",I Turn To You,/wiki/I_Turn_to_You_(All-4-One_song),I Turn To You,/wiki/Christina_Aguilera,2000
42,42,Third Eye Blind,"43
",Never Let You Go,/wiki/Never_Let_You_Go_(Third_Eye_Blind_song),Never Let You Go,/wiki/Third_Eye_Blind,2000
43,43,LeAnn Rimes,"44
",I Need You,/wiki/I_Need_You_(LeAnn_Rimes_song),I Need You,/wiki/LeAnn_Rimes,2000
44,44,Mariah Carey,"45
",Thank God I Found You,/wiki/Thank_God_I_Found_You,Thank God I Found You,/wiki/Mariah_Carey,2000
45,45,Jagged Edge,"46
",Let's Get Married,/wiki/Let%27s_Get_Married_(song),Let's Get Married,/wiki/Jagged_Edge_(American_group),2000
46,46,Whitney Houston,"47
",My Love Is Your Love,/wiki/My_Love_Is_Your_Love_(song),My Love Is Your Love,/wiki/Whitney_Houston,2000
47,47,Smash Mouth,"48
",Then The Morning Comes,/wiki/Then_The_Morning_Comes,Then The Morning Comes,/wiki/Smash_Mouth,2000
48,48,Eiffel 65,"49
",Blue (Da Ba Dee),/wiki/Blue_(Da_Ba_Dee),Blue (Da Ba Dee),/wiki/Eiffel_65,2000
49,49,Sting,"50
",Desert Rose,/wiki/Desert_Rose_(Sting_song),Desert Rose,/wiki/Sting_(musician),2000
50,50,Eminem,"51
",The Real Slim Shady,/wiki/The_Real_Slim_Shady,The Real Slim Shady,/wiki/Eminem,2000
51,51,Pink,"52
",Most Girls,/wiki/Most_Girls_(Pink_song),Most Girls,/wiki/Pink_(singer),2000
52,52,Next,"53
",Wifey,/wiki/Wifey_(song),Wifey,/wiki/Next_(American_band),2000
53,53,Everclear,"54
",Wonderful,/wiki/Wonderful_(Everclear_song),Wonderful,/wiki/Everclear_(band),2000
54,54,Britney Spears,"55
",Oops!... I Did It Again,/wiki/Oops!..._I_Did_It_Again_(song),Oops!... I Did It Again,/wiki/Britney_Spears,2000
55,55,Jessica Simpson,"56
",I Wanna Love You Forever,/wiki/I_Wanna_Love_You_Forever,I Wanna Love You Forever,/wiki/Jessica_Simpson,2000
56,56,98 Degrees,"57
",Give Me Just One Night (Una Noche),/wiki/Give_Me_Just_One_Night_(Una_Noche),Give Me Just One Night (Una Noche),/wiki/98_Degrees,2000
57,57,Filter,"58
",Take a Picture,/wiki/Take_a_Picture_(Filter_song),Take a Picture,/wiki/Filter_(band),2000
58,58,Red Hot Chili Peppers,"59
",Otherside,/wiki/Otherside,Otherside,/wiki/Red_Hot_Chili_Peppers,2000
59,59,Jay-Z,"60
",Big Pimpin',/wiki/Big_Pimpin%27,Big Pimpin',/wiki/Jay-Z,2000
60,60,Son by Four,"61
",A Puro Dolor,/wiki/A_Puro_Dolor,A Puro Dolor,/wiki/Son_by_Four,2000
61,61,Jagged Edge,"62
",He Can't Love U,/wiki/He_Can%27t_Love_U,He Can't Love U,/wiki/Jagged_Edge_(American_group),2000
62,62,Avant,"63
",Separated,/wiki/Separated_(song),Separated,/wiki/Avant_(singer),2000
63,63,Carl Thomas,"64
",I Wish,/wiki/I_Wish_(Carl_Thomas_song),I Wish,/wiki/Carl_Thomas_(singer),2000
64,64,Donell Jones,"65
",U Know What's Up,/wiki/U_Know_What%27s_Up,U Know What's Up,/wiki/Donell_Jones,2000
65,65,soulDecision,"66
",Faded,/wiki/Faded_(soulDecision_song),Faded,/wiki/SoulDecision,2000
66,66,Kid Rock,"67
",Only God Knows Why,/wiki/Only_God_Knows_Why,Only God Knows Why,/wiki/Kid_Rock,2000
67,67,Mystikal,"68
",Shake Ya Ass,/wiki/Shake_Ya_Ass,Shake Ya Ass,/wiki/Mystikal,2000
68,68,Erykah Badu,"69
",Bag Lady,/wiki/Bag_Lady,Bag Lady,/wiki/Erykah_Badu,2000
69,69,Train,"70
",Meet Virginia,/wiki/Meet_Virginia,Meet Virginia,/wiki/Train_(band),2000
70,70,DMX,"71
",Party Up (Up in Here),/wiki/Party_Up_(Up_in_Here),Party Up (Up in Here),/wiki/DMX_(rapper),2000
71,71,Mýa,"72
",Case of the Ex,/wiki/Case_of_the_Ex,Case of the Ex,/wiki/M%C3%BDa,2000
72,72,Dr. Dre,"73
",Forgot About Dre,/wiki/Forgot_About_Dre,Forgot About Dre,/wiki/Dr._Dre,2000
73,73,Jo Dee Messina,"74
",That's the Way,/wiki/That%27s_the_Way_(Jo_Dee_Messina_song),That's the Way,/wiki/Jo_Dee_Messina,2000
74,74,Westlife,"75
",Swear It Again,/wiki/Swear_It_Again,Swear It Again,/wiki/Westlife,2000
75,75,Dr. Dre,"76
",The Next Episode,/wiki/The_Next_Episode,The Next Episode,/wiki/Dr._Dre,2000
76,76,Britney Spears,"77
",From the Bottom of My Broken Heart,/wiki/From_the_Bottom_of_My_Broken_Heart,From the Bottom of My Broken Heart,/wiki/Britney_Spears,2000
77,77,Savage Garden,"78
",Crash and Burn,/wiki/Crash_and_Burn_(Savage_Garden_song),Crash and Burn,/wiki/Savage_Garden,2000
78,78,Chad Brock,"79
",Yes!,/wiki/Yes!_(song),Yes!,/wiki/Chad_Brock,2000
79,79,George Strait,"80
",The Best Day,/wiki/The_Best_Day_(George_Strait_song),The Best Day,/wiki/George_Strait,2000
80,80,Donell Jones,"81
",Where I Wanna Be,/wiki/Where_I_Wanna_Be_(Donell_Jones_song),Where I Wanna Be,/wiki/Donell_Jones,2000
81,81,Toby Keith,"82
",How Do You Like Me Now?!,/wiki/How_Do_You_Like_Me_Now%3F!_(song),How Do You Like Me Now?!,/wiki/Toby_Keith,2000
82,82,Tim McGraw,"83
",My Best Friend,/wiki/My_Best_Friend_(song),My Best Friend,/wiki/Tim_McGraw,2000
83,83,Goo Goo Dolls,"84
",Broadway,/wiki/Broadway_(Goo_Goo_Dolls_song),Broadway,/wiki/Goo_Goo_Dolls,2000
84,84,Da Brat,"85
",What'chu Like,/wiki/What%27chu_Like,What'chu Like,/wiki/Da_Brat,2000
85,85,Kandi,"86
",Don't Think I'm Not,/wiki/Don%27t_Think_I%27m_Not,Don't Think I'm Not,/wiki/Kandi_Burruss,2000
86,86,Lee Ann Womack,"87
",I Hope You Dance,/wiki/I_Hope_You_Dance_(song),I Hope You Dance,/wiki/Lee_Ann_Womack,2000
87,87,Alice Deejay,"88
",Better Off Alone,/wiki/Better_Off_Alone_(Alice_DeeJay_song),Better Off Alone,/wiki/Alice_Deejay,2000
88,88,Debelah Morgan,"89
",Dance with Me,/wiki/Dance_with_Me_(Debelah_Morgan_song),Dance with Me,/wiki/Debelah_Morgan,2000
89,89,Lonestar,"90
",What About Now,/wiki/What_About_Now_(Lonestar_song),What About Now,/wiki/Lonestar,2000
90,90,Sammie,"91
",I Like It,/wiki/I_Like_It_(Sammie_song),I Like It,/wiki/Sammie,2000
91,91,Kevon Edmonds,"92
",24/7,/wiki/24/7_(Kevon_Edmonds_song),24/7,/wiki/Kevon_Edmonds,2000
92,92,LFO,"93
",Girl on TV,/wiki/Girl_on_TV,Girl on TV,/wiki/LFO_(group),2000
93,93,Lil' Bow Wow,"94
",Bounce with Me,/wiki/Bounce_with_Me,Bounce with Me,/wiki/Bow_Wow_(rapper),2000
94,94,Dixie Chicks,"95
",Cowboy Take Me Away,/wiki/Cowboy_Take_Me_Away,Cowboy Take Me Away,/wiki/Dixie_Chicks,2000
95,95,Aaliyah,"96
",I Don't Wanna,/wiki/I_Don%27t_Wanna_(Aaliyah_song),I Don't Wanna,/wiki/Aaliyah,2000
96,96,Destiny's Child,"97
",Independent Women,/wiki/Independent_Women,Independent Women,/wiki/Destiny%27s_Child,2000
97,97,Samantha Mumba,"98
",Gotta Tell You,/wiki/Gotta_Tell_You_(song),Gotta Tell You,/wiki/Samantha_Mumba,2000
98,98,Jennifer Lopez,"99
",Waiting for Tonight,/wiki/Waiting_for_Tonight,Waiting for Tonight,/wiki/Jennifer_Lopez,2000
99,99,Mary Mary,"100
",Shackles (Praise You),/wiki/Shackles_(Praise_You),Shackles (Praise You),/wiki/Mary_Mary,2000
100,0,Lifehouse,"1
",Hanging by a Moment,/wiki/Hanging_by_a_Moment,Hanging by a Moment,/wiki/Lifehouse_(band),2001
101,1,Alicia Keys,"2
",Fallin',/wiki/Fallin%27_(Alicia_Keys_song),Fallin',/wiki/Alicia_Keys,2001
102,2,Janet Jackson,"3
",All for You,/wiki/All_for_You_(Janet_Jackson_song),All for You,/wiki/Janet_Jackson,2001
103,3,Train,"4
",Drops of Jupiter (Tell Me),/wiki/Drops_of_Jupiter_(Tell_Me),Drops of Jupiter (Tell Me),/wiki/Train_(band),2001
104,4,Jennifer Lopez,"5
",I'm Real,/wiki/I%27m_Real_(Jennifer_Lopez_song),I'm Real,/wiki/Jennifer_Lopez,2001
105,5,Matchbox Twenty,"6
",If You're Gone,/wiki/If_You%27re_Gone,If You're Gone,/wiki/Matchbox_Twenty,2001
106,6,Eve,"7
",Let Me Blow Ya Mind,/wiki/Let_Me_Blow_Ya_Mind,Let Me Blow Ya Mind,/wiki/Eve_(entertainer),2001
107,7,Dido,"8
",Thank You,/wiki/Thank_You_(Dido_song),Thank You,/wiki/Dido_(singer),2001
108,8,Lenny Kravitz,"9
",Again,/wiki/Again_(Lenny_Kravitz_song),Again,/wiki/Lenny_Kravitz,2001
109,9,Destiny's Child,"10
",Independent Women,/wiki/Independent_Women,Independent Women,/wiki/Destiny%27s_Child,2001
110,10,Blu Cantrell,"11
",Hit 'Em Up Style (Oops!),/wiki/Hit_%27Em_Up_Style_(Oops!),Hit 'Em Up Style (Oops!),/wiki/Blu_Cantrell,2001
111,11,Shaggy,"12
",It Wasn't Me,/wiki/It_Wasn%27t_Me,It Wasn't Me,/wiki/Shaggy_(musician),2001
112,12,Joe,"13
",Stutter,/wiki/Stutter_(Joe_song),Stutter,/wiki/Joe_(singer),2001
113,13,Staind,"14
",It's Been Awhile,/wiki/It%27s_Been_Awhile,It's Been Awhile,/wiki/Staind,2001
114,14,Usher,"15
",U Remind Me,/wiki/U_Remind_Me,U Remind Me,/wiki/Usher_(entertainer),2001
115,15,Jagged Edge,"16
",Where the Party At,/wiki/Where_the_Party_At,Where the Party At,/wiki/Jagged_Edge_(American_group),2001
116,16,Shaggy,"17
",Angel,/wiki/Angel_(Shaggy_song),Angel,/wiki/Shaggy_(musician),2001
117,17,Nelly,"18
",Ride wit Me,/wiki/Ride_wit_Me,Ride wit Me,/wiki/Nelly,2001
118,18,Uncle Kracker,"19
",Follow Me,/wiki/Follow_Me_(Uncle_Kracker_song),Follow Me,/wiki/Uncle_Kracker,2001
119,19,112,"20
",Peaches & Cream,/wiki/Peaches_%26_Cream_(112_song),Peaches & Cream,/wiki/112_(band),2001
120,20,Incubus,"21
",Drive,/wiki/Drive_(Incubus_song),Drive,/wiki/Incubus_(band),2001
121,21,City High,"22
",What Would You Do?,/wiki/What_Would_You_Do%3F_(City_High_song),What Would You Do?,/wiki/City_High,2001
122,22,Destiny's Child,"23
",Survivor,/wiki/Survivor_(Destiny%27s_Child_song),Survivor,/wiki/Destiny%27s_Child,2001
123,23,Christina Aguilera,"24
",Lady Marmalade,/wiki/Lady_Marmalade#Moulin_Rouge!_cover,Lady Marmalade,/wiki/Christina_Aguilera,2001
124,24,OutKast,"25
",Ms. Jackson,/wiki/Ms._Jackson,Ms. Jackson,/wiki/OutKast,2001
125,25,Jennifer Lopez,"26
",Love Don't Cost a Thing,/wiki/Love_Don%27t_Cost_a_Thing_(song),Love Don't Cost a Thing,/wiki/Jennifer_Lopez,2001
126,26,Faith Hill,"27
",The Way You Love Me,/wiki/The_Way_You_Love_Me_(Faith_Hill_song),The Way You Love Me,/wiki/Faith_Hill,2001
127,27,Dream,"28
",He Loves U Not,/wiki/He_Loves_U_Not,He Loves U Not,/wiki/Dream_(American_group),2001
128,28,Crazy Town,"29
",Butterfly,/wiki/Butterfly_(Crazy_Town_song),Butterfly,/wiki/Crazy_Town,2001
129,29,Ja Rule,"30
",Put It on Me,/wiki/Put_It_on_Me_(Ja_Rule_song),Put It on Me,/wiki/Ja_Rule,2001
130,30,Mary J. Blige,"31
",Family Affair,/wiki/Family_Affair_(Mary_J._Blige_song),Family Affair,/wiki/Mary_J._Blige,2001
131,31,Lee Ann Womack,"32
",I Hope You Dance,/wiki/I_Hope_You_Dance_(song),I Hope You Dance,/wiki/Lee_Ann_Womack,2001
132,32,Moby,"33
",South Side,/wiki/South_Side_(song),South Side,/wiki/Moby,2001
133,33,Madonna,"34
",Don't Tell Me,/wiki/Don%27t_Tell_Me_(Madonna_song),Don't Tell Me,/wiki/Madonna_(entertainer),2001
134,34,Missy Elliott,"35
",Get Ur Freak On,/wiki/Get_Ur_Freak_On,Get Ur Freak On,/wiki/Missy_Elliott,2001
135,35,K-Ci & JoJo,"36
",Crazy,/wiki/Crazy_(K-Ci_and_JoJo_song),Crazy,/wiki/K-Ci_%26_JoJo,2001
136,36,Craig David,"37
",Fill Me In,/wiki/Fill_Me_In,Fill Me In,/wiki/Craig_David,2001
137,37,Janet Jackson,"38
",Someone to Call My Lover,/wiki/Someone_to_Call_My_Lover,Someone to Call My Lover,/wiki/Janet_Jackson,2001
138,38,Creed,"39
",With Arms Wide Open,/wiki/With_Arms_Wide_Open,With Arms Wide Open,/wiki/Creed_(band),2001
139,39,Mýa,"40
",Case of the Ex,/wiki/Case_of_the_Ex,Case of the Ex,/wiki/M%C3%BDa,2001
140,40,O-Town,"41
",All or Nothing,/wiki/All_or_Nothing_(O-Town_song),All or Nothing,/wiki/O-Town,2001
141,41,Destiny's Child,"42
",Bootylicious,/wiki/Bootylicious,Bootylicious,/wiki/Destiny%27s_Child,2001
142,42,Nelly Furtado,"43
",I'm Like a Bird,/wiki/I%27m_Like_a_Bird,I'm Like a Bird,/wiki/Nelly_Furtado,2001
143,43,3 Doors Down,"44
",Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),Kryptonite,/wiki/3_Doors_Down,2001
144,44,R. Kelly,"45
",Fiesta,/wiki/Fiesta_(R._Kelly_song),Fiesta,/wiki/R._Kelly,2001
145,45,Sugar Ray,"46
",When It's Over,/wiki/When_It%27s_Over_(Sugar_Ray_song),When It's Over,/wiki/Sugar_Ray,2001
146,46,Aerosmith,"47
",Jaded,/wiki/Jaded_(Aerosmith_song),Jaded,/wiki/Aerosmith,2001
147,47,Jagged Edge,"48
",Promise,/wiki/Promise_(Jagged_Edge_song),Promise,/wiki/Jagged_Edge_(American_group),2001
148,48,Case,"49
",Missing You,/wiki/Missing_You_(Case_song),Missing You,/wiki/Case_(singer),2001
149,49,Ginuwine,"50
",Differences,/wiki/Differences_(song),Differences,/wiki/Ginuwine,2001
150,50,'N Sync,"51
",This I Promise You,/wiki/This_I_Promise_You,This I Promise You,/wiki/%27N_Sync,2001
151,51,Jay-Z,"52
",Izzo (H.O.V.A.),/wiki/Izzo_(H.O.V.A.),Izzo (H.O.V.A.),/wiki/Jay-Z,2001
152,52,Lil' Mo,"53
",Superwoman Pt. II,/wiki/Superwoman_Pt._II,Superwoman Pt. II,/wiki/Lil%27_Mo,2001
153,53,Evan and Jaron,"54
",Crazy for This Girl,/wiki/Crazy_for_This_Girl,Crazy for This Girl,/wiki/Evan_and_Jaron,2001
154,54,Ricky Martin,"55
",Nobody Wants to Be Lonely,/wiki/Nobody_Wants_to_Be_Lonely,Nobody Wants to Be Lonely,/wiki/Ricky_Martin,2001
155,55,Jay-Z,"56
",I Just Wanna Love U (Give It 2 Me),/wiki/I_Just_Wanna_Love_U_(Give_It_2_Me),I Just Wanna Love U (Give It 2 Me),/wiki/Jay-Z,2001
156,56,Missy Elliott,"57
",One Minute Man,/wiki/One_Minute_Man,One Minute Man,/wiki/Missy_Elliott,2001
157,57,Mystikal,"58
",Danger (Been So Long),/wiki/Danger_(Been_So_Long),Danger (Been So Long),/wiki/Mystikal,2001
158,58,Enya,"59
",Only Time,/wiki/Only_Time,Only Time,/wiki/Enya,2001
159,59,Toya,"60
",I Do!!,/wiki/I_Do!!,I Do!!,/wiki/Toya_(singer),2001
160,60,S Club 7,"61
",Never Had a Dream Come True,/wiki/Never_Had_a_Dream_Come_True,Never Had a Dream Come True,/wiki/S_Club_7,2001
161,61,Tamia,"62
",Stranger in My House,/wiki/Stranger_in_My_House_(Tamia_song),Stranger in My House,/wiki/Tamia,2001
162,62,Jessica Simpson,"63
",Irresistible,/wiki/Irresistible_(Jessica_Simpson_song),Irresistible,/wiki/Jessica_Simpson,2001
163,63,Sunshine Anderson,"64
",Heard It All Before,/wiki/Heard_It_All_Before_(Sunshine_Anderson_song),Heard It All Before,/wiki/Sunshine_Anderson,2001
164,64,Dave Matthews Band,"65
",The Space Between,/wiki/The_Space_Between,The Space Between,/wiki/Dave_Matthews_Band,2001
165,65,Faith Hill,"66
",There You'll Be,/wiki/There_You%27ll_Be,There You'll Be,/wiki/Faith_Hill,2001
166,66,Musiq Soulchild,"67
",Love,/wiki/Love_(Musiq_Soulchild_song),Love,/wiki/Musiq_Soulchild,2001
167,67,112,"68
",It's Over Now,/wiki/It%27s_Over_Now_(112_song),It's Over Now,/wiki/112_(band),2001
168,68,3LW,"69
",No More (Baby I'ma Do Right),/wiki/No_More_(Baby_I%27ma_Do_Right),No More (Baby I'ma Do Right),/wiki/3LW,2001
169,69,Nelly Furtado,"70
",Turn Off the Light,/wiki/Turn_Off_the_Light,Turn Off the Light,/wiki/Nelly_Furtado,2001
170,70,Brooks & Dunn,"71
",Ain't Nothing 'bout You,/wiki/Ain%27t_Nothing_%27bout_You,Ain't Nothing 'bout You,/wiki/Brooks_%26_Dunn,2001
171,71,Jennifer Lopez,"72
",Play,/wiki/Play_(Jennifer_Lopez_song),Play,/wiki/Jennifer_Lopez,2001
172,72,Lonestar,"73
",I'm Already There,/wiki/I%27m_Already_There_(song),I'm Already There,/wiki/Lonestar,2001
173,73,Lil' Romeo,"74
",My Baby,/wiki/My_Baby_(Lil%27_Romeo_song),My Baby,/wiki/Romeo_Miller,2001
174,74,U2,"75
",Beautiful Day,/wiki/Beautiful_Day,Beautiful Day,/wiki/U2,2001
175,75,Blake Shelton,"76
",Austin,/wiki/Austin_(song),Austin,/wiki/Blake_Shelton,2001
176,76,Ludacris,"77
",Southern Hospitality,/wiki/Southern_Hospitality_(song),Southern Hospitality,/wiki/Ludacris,2001
177,77,Tim McGraw,"78
",Grown Men Don't Cry,/wiki/Grown_Men_Don%27t_Cry,Grown Men Don't Cry,/wiki/Tim_McGraw,2001
178,78,Ja Rule,"79
",Livin' It Up,/wiki/Livin%27_It_Up_(Ja_Rule_song),Livin' It Up,/wiki/Ja_Rule,2001
179,79,Mariah Carey,"80
",Loverboy,/wiki/Loverboy_(Mariah_Carey_song),Loverboy,/wiki/Mariah_Carey,2001
180,80,The Isley Brothers,"81
",Contagious,/wiki/Contagious_(song),Contagious,/wiki/The_Isley_Brothers,2001
181,81,Jessica Andrews,"82
",Who I Am,/wiki/Who_I_Am_(Jessica_Andrews_song),Who I Am,/wiki/Jessica_Andrews,2001
182,82,Erick Sermon,"83
",Music,/wiki/Music_(Erick_Sermon_and_Marvin_Gaye_song),Music,/wiki/Erick_Sermon,2001
183,83,Willa Ford,"84
",I Wanna Be Bad,/wiki/I_Wanna_Be_Bad,I Wanna Be Bad,/wiki/Willa_Ford,2001
184,84,Kenny Chesney,"85
",Don't Happen Twice,/wiki/Don%27t_Happen_Twice,Don't Happen Twice,/wiki/Kenny_Chesney,2001
185,85,Diamond Rio,"86
",One More Day,/wiki/One_More_Day_(Diamond_Rio_song),One More Day,/wiki/Diamond_Rio,2001
186,86,R. Kelly,"87
",I Wish,/wiki/I_Wish_(R._Kelly_song),I Wish,/wiki/R._Kelly,2001
187,87,Travis Tritt,"88
",It's a Great Day to Be Alive,/wiki/It%27s_a_Great_Day_to_Be_Alive,It's a Great Day to Be Alive,/wiki/Travis_Tritt,2001
188,88,Trick Daddy,"89
","""I'm a Thug""",,"""I'm a Thug""",/wiki/Trick_Daddy,2001
189,89,Eve 6,"90
",Here's to the Night,/wiki/Here%27s_to_the_Night,Here's to the Night,/wiki/Eve_6,2001
190,90,Toby Keith,"91
",You Shouldn't Kiss Me Like This,/wiki/You_Shouldn%27t_Kiss_Me_Like_This,You Shouldn't Kiss Me Like This,/wiki/Toby_Keith,2001
191,91,Eden's Crush,"92
",Get Over Yourself,/wiki/Get_Over_Yourself_(Eden%27s_Crush_song),Get Over Yourself,/wiki/Eden%27s_Crush,2001
192,92,Debelah Morgan,"93
",Dance with Me,/wiki/Dance_with_Me_(Debelah_Morgan_song),Dance with Me,/wiki/Debelah_Morgan,2001
193,93,Outkast,"94
",So Fresh So Clean,/wiki/So_Fresh_So_Clean,So Fresh So Clean,/wiki/Outkast,2001
194,94,Nelly,"95
",E.I.,/wiki/E.I._(song),E.I.,/wiki/Nelly,2001
195,95,3 Doors Down,"96
",Be Like That,/wiki/Be_Like_That,Be Like That,/wiki/3_Doors_Down,2001
196,96,Pink,"97
",Most Girls,/wiki/Most_Girls_(Pink_song),Most Girls,/wiki/Pink_(singer),2001
197,97,Nas,"98
",Oochie Wally,/wiki/Oochie_Wally,Oochie Wally,/wiki/Nas,2001
198,98,Enrique Iglesias,"99
",Hero,/wiki/Hero_(Enrique_Iglesias_song),Hero,/wiki/Enrique_Iglesias,2001
199,99,Fuel,"100
",Hemorrhage (In My Hands),/wiki/Hemorrhage_(In_My_Hands),Hemorrhage (In My Hands),/wiki/Fuel_(band),2001
200,0,Nickelback,"1
",How You Remind Me,/wiki/How_You_Remind_Me,How You Remind Me,/wiki/Nickelback,2002
201,1,Ashanti,"2
",Foolish,/wiki/Foolish_(Ashanti_song),Foolish,/wiki/Ashanti_(entertainer),2002
202,2,Nelly,"3
",Hot in Herre,/wiki/Hot_in_Herre,Hot in Herre,/wiki/Nelly,2002
203,3,Nelly,"4
",Dilemma,/wiki/Dilemma_(song),Dilemma,/wiki/Nelly,2002
204,4,The Calling,"5
",Wherever You Will Go,/wiki/Wherever_You_Will_Go,Wherever You Will Go,/wiki/The_Calling,2002
205,5,Vanessa Carlton,"6
",A Thousand Miles,/wiki/A_Thousand_Miles,A Thousand Miles,/wiki/Vanessa_Carlton,2002
206,6,Linkin Park,"7
",In the End,/wiki/In_the_End,In the End,/wiki/Linkin_Park,2002
